,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
400129,236,28.0618311534,16,0.926417986714,1957,841,71.9381688466,220
400093,169,25.3373313343,5,0.932735426009,1561,667,74.6626686657,164
400097,152,29.6875,8,0.945652173913,1196,512,70.3125,144
412214,51,17.7700348432,5,0.987915407855,662,287,82.2299651568,46
412215,20,7.46268656716,11,0.982704402516,636,268,92.5373134328,9
412216,32,12.1212121212,12,0.973109243697,595,264,87.8787878788,20
412309,36,20.3389830508,17,0.956204379562,411,177,79.6610169492,19
412476,5,6.17283950617,2,0.994623655914,186,81,93.8271604938,3
412211,33,11.7021276596,3,0.981538461538,650,282,88.2978723404,30
412212,64,22.6148409894,2,0.990963855422,664,283,77.3851590106,62
412213,27,14.2857142857,2,0.974885844749,438,189,85.7142857143,25
412199,16,5.94795539033,7,0.985981308411,642,269,94.0520446097,9
400392,52,11.5044247788,24,0.985451018429,1031,452,88.4955752212,28
412196,67,23.6749116608,2,0.980122324159,654,283,76.3250883392,65
412195,14,5.09090909091,9,0.985959438378,641,275,94.9090909091,5
412194,25,8.92857142857,13,0.961948249619,657,280,91.0714285714,12
412193,20,7.06713780919,10,0.980392156863,663,283,92.9328621908,10
412192,40,14.5454545455,4,0.972179289026,647,275,85.4545454545,36
412191,36,12.7659574468,6,0.980213089802,657,282,87.2340425532,30
412190,51,18.0212014134,11,0.972222222222,648,283,81.9787985866,40
400121,148,22.0566318927,19,0.971537001898,1581,671,77.9433681073,129
400289,223,26.6109785203,16,0.931562819203,1958,838,73.3890214797,207
400124,251,29.809976247,12,0.91738469336,1973,842,70.190023753,239
400024,196,32.9966329966,28,0.940115440115,1386,594,67.0033670034,168
400025,193,20.7303974221,107,0.933888118354,2163,931,79.2696025779,86
400027,67,10.9836065574,39,0.973201692525,1418,610,89.0163934426,28
400021,192,23.3292831106,84,0.942066805846,1916,823,76.6707168894,108
400029,100,23.9808153477,9,0.977482088025,977,417,76.0191846523,91
412449,4,5.0,2,1.0,188,80,95.0,2
400147,56,12.9930394432,34,0.97532082922,1013,431,87.0069605568,22
412440,13,16.049382716,8,0.957219251337,187,81,83.950617284,5
400145,69,15.7534246575,55,0.972495088409,1018,438,84.2465753425,14
400144,146,15.1767151767,82,0.961330935252,2224,962,84.8232848233,64
412445,0,0.0,0,0.989247311828,186,80,100.0,0
400142,76,9.8064516129,33,0.972497249725,1818,775,90.1935483871,43
412447,0,0.0,0,0.983957219251,187,79,100.0,0
