,n_baseline_misclassified,null_hypothesis,better_algorithm,baseline accuracy,value,n_svm_misclassified,SVM accuracy
400170,66,3.841459,1,75.6926952141,14.5638297872,28,80.3526448363
400171,0,3.841459,2,93.7904269082,0.5,2,93.531694696
412438,8,3.841459,2,76.25,1.45454545455,3,82.5
400076,0,3.841459,0,84.4329896907,2147483647,0,84.4329896907
400075,126,3.841459,1,71.2264150943,51.75625,34,82.3113207547
400074,55,3.841459,1,76.2295081967,11.3924050633,24,82.7868852459
400178,55,3.841459,1,77.4881516588,12.3205128205,23,81.3981042654
400179,149,3.841459,1,67.0245398773,37.0526315789,60,81.1349693252
400618,41,3.841459,1,73.2394366197,12.2909090909,14,80.5633802817
400617,0,3.841459,0,88.2352941176,2147483647,0,88.2352941176
400616,22,3.841459,2,84.6994535519,2.38235294118,12,87.4316939891
400313,0,3.841459,0,89.0532544379,2147483647,0,89.0532544379
400259,41,3.841459,1,76.7716535433,4.515625,23,80.3149606299
400311,147,3.841459,1,63.5467980296,51.8134715026,46,79.6387520525
400316,272,3.841459,1,55.2016985138,58.1658163265,120,72.6114649682
400314,79,3.841459,1,72.7385377943,16.2192982456,35,78.1908302354
400315,1,3.841459,2,92.4453280318,0.25,3,92.0477137177
412294,1,3.841459,2,87.4285714286,0.0,2,87.4285714286
400252,0,3.841459,2,87.5291375291,0.5,2,87.296037296
400318,0,3.841459,0,81.5261044177,2147483647,0,81.5261044177
412290,4,3.841459,2,85.393258427,0.166666666667,2,86.5168539326
