,Test Errors,Test Error Rate,Test False Positives,Train Accuracy,Train Size,Test Size,Test Accuracy,Test False Negatives
412473,6,7.31707317073,6,0.915789473684,190,82,92.6829268293,0
400039,74,11.9741100324,25,0.893442622951,1464,618,88.0258899676,49
400038,46,10.7476635514,7,0.9037111334,997,428,89.2523364486,39
412478,2,2.43902439024,2,0.967391304348,184,82,97.5609756098,0
412479,5,6.09756097561,5,0.973262032086,187,82,93.9024390244,0
412275,21,11.8644067797,8,0.884803921569,408,177,88.1355932203,13
412272,24,13.5593220339,5,0.877750611247,409,177,86.4406779661,19
412379,14,9.52380952381,2,0.933933933934,333,147,90.4761904762,12
412270,21,11.797752809,7,0.891358024691,405,178,88.202247191,14
412271,21,11.9318181818,4,0.890510948905,411,176,88.0681818182,17
400133,186,22.7662178703,20,0.781153450051,1942,817,77.2337821297,166
400130,197,26.6937669377,42,0.744334689134,1721,738,73.3062330623,155
400137,48,9.73630831643,9,0.890434782609,1150,493,90.2636916836,39
400134,84,16.5354330709,70,0.813675213675,1170,508,83.4645669291,14
400100,227,23.5233160622,52,0.747111111111,2250,965,76.4766839378,175
412420,6,7.59493670886,6,0.924731182796,186,79,92.4050632911,0
400090,200,28.328611898,47,0.754247572816,1648,706,71.671388102,153
412278,22,12.6436781609,0,0.911764705882,408,174,87.3563218391,22
412487,3,3.75,3,0.936842105263,190,80,96.25,0
400046,40,5.96125186289,13,0.904153354633,1565,671,94.0387481371,27
400047,132,21.4634146341,51,0.792767732962,1438,615,78.5365853659,81
412486,4,4.87804878049,4,0.967914438503,187,82,95.1219512195,0
400042,159,23.8380809595,122,0.772208121827,1576,667,76.1619190405,37
400048,202,24.3080625752,59,0.767987486966,1918,831,75.6919374248,143
412010,48,14.4144144144,1,0.87146529563,778,333,85.5855855856,47
412011,29,9.66666666667,11,0.88293370945,709,300,90.3333333333,18
400622,37,10.7558139535,10,0.886956521739,805,344,89.2441860465,27
400623,46,12.9213483146,2,0.884662576687,815,356,87.0786516854,44
400626,35,9.74930362117,9,0.913461538462,832,359,90.2506963788,26
400627,32,9.27536231884,6,0.899378881988,805,345,90.7246376812,26
400628,68,18.7327823691,63,0.825829383886,844,363,81.2672176309,5
412217,32,11.1888111888,0,0.871406959153,661,286,88.8111888112,32
400262,176,18.5263157895,24,0.814649397052,2239,950,81.4736842105,152
400263,166,23.9193083573,38,0.752481389578,1612,694,76.0806916427,128
400189,194,19.595959596,66,0.819956616052,2305,990,80.404040404,128
400266,207,30.0872093023,207,0.720376175549,1595,688,69.9127906977,0
400267,82,9.57943925234,19,0.902756892231,1995,856,90.4205607477,63
400183,208,24.1860465116,168,0.746365914787,1995,860,75.8139534884,40
400185,99,19.9596774194,7,0.800515907137,1163,496,80.0403225806,92
400184,133,21.9110378913,22,0.743824982357,1417,607,78.0889621087,111
400436,192,22.695035461,23,0.755973563803,1967,846,77.304964539,169
400435,158,15.8634538153,75,0.845161290323,2325,996,84.1365461847,83
400433,53,11.2288135593,15,0.908265213442,1101,472,88.7711864407,38
400348,122,14.2857142857,83,0.861686017163,1981,854,85.7142857143,39
400431,80,10.4712041885,28,0.89420935412,1796,764,89.5287958115,52
400345,141,27.5929549902,141,0.744556113903,1194,511,72.4070450098,0
